student_id,name,age,education_level,total_enrollments,completed_courses,active_courses,dropped_courses,completion_rate,total_modules_attempted,modules_completed,avg_time_per_module,total_study_hours,avg_progress_percentage,module_completion_rate,total_assessments,avg_score,max_score,min_score,assessments_passed,pass_rate,risk_level
STU00158,Theresa Osborn,41,High School,5,0,4,1,0.0,19,10,4.91,93.2,56.32,52.63,17,64.94,92,34,13,76.47,Medium
STU00159,Daniel Meza,25,High School,1,0,1,0,0.0,7,6,4.64,32.45,55.71,85.71,12,62.0,90,32,10,83.33,Medium
STU00161,Christopher Schwartz,44,Bachelor,1,0,1,0,0.0,7,4,5.63,39.39,62.57,57.14,10,76.0,90,41,10,100.0,Medium
STU00164,Ruth Solis,23,High School,1,0,0,1,0.0,6,3,3.82,22.92,48.33,50.0,5,72.8,96,54,5,100.0,Medium
STU00170,Eric Williams,35,Master,3,0,2,1,0.0,12,7,5.55,66.57,55.92,58.33,14,71.57,96,39,8,57.14,Medium
STU00181,Nicholas Buck,37,Master,3,0,1,2,0.0,14,6,6.96,97.46,50.71,42.86,15,68.67,100,32,13,86.67,Medium
STU00187,Yolanda Cochran,39,Master,1,0,1,0,0.0,2,0,4.53,9.05,50.5,0.0,0,0.0,0,0,0,0.0,High
STU00189,Johnny Ward,41,Master,3,0,2,1,0.0,16,9,5.42,86.7,49.81,56.25,17,63.41,100,32,13,76.47,Medium
STU00194,Eric Ferguson,41,Master,5,0,5,0,0.0,28,20,4.99,139.68,44.39,71.43,38,68.74,100,31,29,76.32,Medium
STU00197,Tyler Webb,40,Bachelor,1,0,0,1,0.0,2,1,6.08,12.16,49.5,50.0,1,84.0,84,84,0,0.0,Medium
STU00198,John Peterson,19,Master,4,0,1,3,0.0,5,4,5.42,27.09,51.2,80.0,9,71.33,96,42,7,77.78,Medium
STU00199,Philip Robertson,38,High School,3,0,2,1,0.0,15,9,5.63,84.45,28.93,60.0,20,71.25,89,38,19,95.0,Medium
STU00201,Phillip Jimenez,32,Bachelor,1,0,0,1,0.0,2,1,5.64,11.28,84.5,50.0,2,62.0,93,31,1,50.0,Medium
STU00204,James Hudson,22,Master,1,0,1,0,0.0,6,3,6.51,39.04,36.0,50.0,3,75.33,80,70,3,100.0,Medium
STU00211,Brittany Becker,23,High School,3,0,2,1,0.0,14,8,4.44,62.18,34.93,57.14,13,74.0,94,51,9,69.23,Medium
STU00212,Jason Harris,18,PhD,1,0,1,0,0.0,7,5,5.13,35.92,63.0,71.43,9,67.78,88,41,7,77.78,Medium
STU00213,Kristina Bolton,27,Bachelor,3,0,1,2,0.0,13,8,4.71,61.17,59.15,61.54,16,62.56,91,31,14,87.5,Medium
STU00219,Courtney Hall,21,Master,1,0,1,0,0.0,4,2,4.26,17.02,34.5,50.0,3,53.67,57,48,2,66.67,Medium
STU00230,Christian Adkins,39,High School,4,0,2,2,0.0,6,4,4.5,27.01,43.33,66.67,11,61.45,96,30,7,63.64,Medium
STU00244,Kristi Williams,24,Bachelor,1,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,High
STU00250,Thomas Arnold,28,Bachelor,1,0,1,0,0.0,5,1,8.35,41.75,53.4,20.0,3,73.0,95,62,3,100.0,Medium
STU00251,Julie Lang,25,High School,1,0,1,0,0.0,8,4,4.98,39.86,53.63,50.0,11,65.82,98,38,8,72.73,Medium
STU00253,Gary James,39,Bachelor,3,0,2,1,0.0,11,6,5.98,65.81,41.18,54.55,12,63.0,93,34,10,83.33,Medium
STU00261,John Walsh,37,Bachelor,5,0,3,2,0.0,21,13,4.81,101.09,48.76,61.9,27,67.48,99,30,24,88.89,Medium
STU00264,Daniel Thomas,23,Master,3,0,3,0,0.0,18,8,5.9,106.27,54.61,44.44,14,66.71,95,49,11,78.57,Medium
STU00266,Jeffrey Roberson,29,PhD,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,High
STU00267,Rachel Hayes,25,PhD,2,0,1,1,0.0,6,4,3.83,22.99,58.33,66.67,8,61.0,99,37,7,87.5,Medium
STU00269,Nancy Stewart,37,Bachelor,2,0,0,2,0.0,5,1,7.26,36.28,61.0,20.0,2,67.5,89,46,1,50.0,Medium
STU00270,Brandon Jordan,36,Bachelor,2,0,1,1,0.0,8,6,5.65,45.2,48.75,75.0,9,68.22,78,53,7,77.78,Medium
STU00271,Erika Cruz,38,PhD,1,0,0,1,0.0,2,1,5.48,10.96,43.0,50.0,2,62.0,87,37,2,100.0,Medium
STU00282,Miss Jennifer Goodwin,39,Bachelor,1,0,1,0,0.0,4,2,5.67,22.69,39.0,50.0,4,67.5,73,62,3,75.0,Medium
STU00287,Erin Simmons,24,Master,2,0,1,1,0.0,8,2,5.78,46.25,33.63,25.0,2,79.0,91,67,1,50.0,Medium
STU00296,Donald Medina,39,PhD,3,0,3,0,0.0,19,9,3.52,66.84,52.84,47.37,15,66.8,98,30,14,93.33,Medium
STU00299,Sean Wilson,38,High School,2,0,2,0,0.0,16,5,5.37,85.89,44.56,31.25,8,63.75,99,35,6,75.0,Medium
STU00305,John Perkins,26,Master,1,0,1,0,0.0,5,3,5.38,26.88,53.0,60.0,4,74.5,86,62,3,75.0,Medium
STU00310,Amber Garrett,38,High School,1,0,1,0,0.0,5,4,3.43,17.17,55.8,80.0,9,70.78,93,50,5,55.56,Medium
STU00315,Angelica Garcia,43,High School,2,0,2,0,0.0,15,9,5.13,76.96,52.27,60.0,22,70.27,94,41,18,81.82,Medium
STU00316,Matthew Wright,45,Bachelor,3,0,1,2,0.0,9,5,4.73,42.57,58.89,55.56,10,59.4,83,31,6,60.0,Medium
STU00317,James Lucas,43,High School,1,0,0,1,0.0,5,2,6.56,32.82,43.2,40.0,5,68.6,90,40,4,80.0,Medium
STU00318,Vanessa Hatfield,22,Master,4,0,2,2,0.0,18,9,7.43,133.79,41.78,50.0,17,70.53,99,35,15,88.24,Medium
STU00321,Diamond Collins,34,High School,2,0,2,0,0.0,12,6,5.29,63.51,43.25,50.0,15,63.07,89,34,13,86.67,Medium
STU00325,Frances Patterson,33,PhD,2,0,1,1,0.0,8,4,4.94,39.55,55.63,50.0,7,57.0,80,31,5,71.43,Medium
STU00332,Kevin Snyder,31,Bachelor,4,0,4,0,0.0,19,11,5.7,108.29,62.16,57.89,22,68.73,98,30,19,86.36,Medium
STU00334,Ashley Moreno,41,Master,2,0,2,0,0.0,9,8,4.76,42.82,64.78,88.89,17,63.71,87,44,12,70.59,Medium
STU00335,David Bruce,28,Master,1,0,0,1,0.0,3,1,5.92,17.76,41.0,33.33,2,69.5,87,52,1,50.0,Medium
STU00337,Ethan Owen,20,High School,1,0,1,0,0.0,2,1,3.96,7.91,31.5,50.0,2,58.5,80,37,1,50.0,Medium
STU00342,Brian Leon,21,Bachelor,4,0,2,2,0.0,9,5,3.53,31.73,27.44,55.56,12,70.83,83,35,11,91.67,Medium
STU00344,Matthew Lamb,29,Master,1,0,1,0,0.0,3,2,7.12,21.37,41.33,66.67,4,65.0,94,49,3,75.0,Medium
STU00349,Dr. Jonathan Price,45,PhD,1,0,1,0,0.0,4,3,7.31,29.25,44.5,75.0,8,67.13,92,45,5,62.5,Medium
STU00355,Tamara Richard,39,Master,4,0,2,2,0.0,20,14,4.42,88.46,49.95,70.0,28,67.46,100,32,21,75.0,Medium
STU00362,Brian Smith,42,Master,1,0,1,0,0.0,6,1,6.28,37.71,58.33,16.67,2,63.0,68,58,1,50.0,Medium
STU00363,Heather Bennett,28,High School,2,0,2,0,0.0,9,4,7.2,64.83,31.56,44.44,7,66.14,89,38,3,42.86,Medium
STU00371,Antonio Goodwin,20,High School,1,0,0,1,0.0,5,4,5.07,25.34,63.0,80.0,6,68.83,100,50,5,83.33,Medium
STU00386,Karen Arnold,29,High School,1,0,1,0,0.0,3,0,3.94,11.81,37.33,0.0,0,0.0,0,0,0,0.0,High
STU00391,Elizabeth Rodriguez,32,Master,4,0,4,0,0.0,15,9,5.13,76.92,44.67,60.0,17,64.88,92,34,16,94.12,Medium
STU00393,Jennifer Flores,25,PhD,1,0,1,0,0.0,3,3,3.65,10.94,63.67,100.0,6,63.17,82,52,6,100.0,Medium
STU00400,Mrs. Shannon White,27,PhD,2,0,1,1,0.0,8,5,4.16,33.24,58.13,62.5,11,72.73,99,42,8,72.73,Medium
STU00407,Barbara Dawson,22,High School,1,0,0,1,0.0,2,1,7.04,14.08,64.0,50.0,3,56.33,72,40,3,100.0,Medium
STU00409,Michael Mccoy,42,Bachelor,3,0,3,0,0.0,14,12,5.48,76.76,60.86,85.71,22,72.09,93,31,20,90.91,Medium
STU00422,Stephanie Salazar,25,Master,1,0,1,0,0.0,7,2,4.18,29.26,37.86,28.57,5,66.4,98,34,3,60.0,Medium
STU00435,Shannon Joseph,40,Master,3,0,2,1,0.0,14,8,7.67,107.37,53.0,57.14,14,63.14,89,38,10,71.43,Medium
STU00442,Patrick Harris,41,High School,4,0,3,1,0.0,20,15,4.49,89.73,35.45,75.0,29,67.41,100,33,23,79.31,Medium
STU00447,Jonathan Perry,27,High School,1,0,1,0,0.0,4,3,5.51,22.04,52.25,75.0,8,71.5,98,37,7,87.5,Medium
STU00451,Mr. Matthew Flores,29,Master,3,0,2,1,0.0,13,7,4.24,55.11,52.85,53.85,13,65.15,92,36,9,69.23,Medium
STU00460,Daniel Figueroa,40,Master,2,0,2,0,0.0,4,3,3.13,12.5,41.0,75.0,9,63.22,94,38,8,88.89,Medium
STU00461,Cheyenne White,19,Master,3,0,3,0,0.0,15,9,6.13,91.97,48.8,60.0,16,73.94,99,32,15,93.75,Medium
STU00464,Krystal Diaz,34,Bachelor,4,0,3,1,0.0,20,9,4.62,92.43,52.1,45.0,16,68.69,98,36,14,87.5,Medium
STU00467,Stephen Jones,29,High School,2,0,1,1,0.0,7,2,5.14,36.0,51.86,28.57,6,58.33,73,31,6,100.0,Medium
STU00471,Shelby Thomas,21,Bachelor,1,0,1,0,0.0,7,5,4.91,34.4,48.0,71.43,10,65.8,92,48,7,70.0,Medium
STU00473,Amanda Wong,42,PhD,5,0,3,2,0.0,22,11,4.59,101.0,50.59,50.0,20,74.0,99,35,17,85.0,Medium
STU00482,James Rodriguez,18,Master,2,0,1,1,0.0,4,2,4.07,16.29,57.25,50.0,3,81.0,83,78,3,100.0,Medium
STU00493,Dennis Wood,24,Master,2,0,1,1,0.0,9,4,4.94,44.5,68.89,44.44,10,70.2,88,42,8,80.0,Medium
STU00494,Victor Brown,38,High School,2,0,2,0,0.0,8,3,4.82,38.57,27.5,37.5,7,69.43,92,31,6,85.71,Medium
STU00495,Donna Johnson,36,Bachelor,1,0,1,0,0.0,7,7,8.83,61.81,60.14,100.0,11,76.64,98,38,10,90.91,Medium
STU00009,Jennifer Jones,26,Bachelor,5,1,3,1,20.0,26,14,5.99,155.82,55.65,53.85,32,66.88,100,31,20,62.5,Medium
STU00016,Dr. Cynthia Allen,45,High School,5,1,2,2,20.0,25,16,6.2,155.05,55.44,64.0,36,67.08,97,31,27,75.0,Medium
STU00068,Mary Jones,31,PhD,5,1,2,2,20.0,26,16,5.01,130.14,49.04,61.54,30,63.97,91,30,22,73.33,Medium
STU00118,Audrey Young DDS,24,PhD,5,1,3,1,20.0,25,15,5.24,130.95,55.72,60.0,30,68.97,98,37,20,66.67,Medium
STU00120,Michael Robinson,35,Master,5,1,4,0,20.0,24,12,5.83,139.93,58.33,50.0,26,66.27,96,31,22,84.62,Medium
STU00134,Kenneth Lewis,22,Master,5,1,4,0,20.0,26,12,4.85,126.15,55.04,46.15,22,68.14,92,36,17,77.27,Medium
STU00141,James Greene,22,Bachelor,5,1,2,2,20.0,21,16,5.33,111.91,51.67,76.19,35,65.57,100,30,27,77.14,Medium
STU00149,Maria Downs,33,PhD,5,1,3,1,20.0,22,15,4.94,108.66,46.86,68.18,32,63.66,95,32,27,84.38,Medium
STU00185,Noah Porter,43,High School,5,1,3,1,20.0,26,18,5.95,154.8,52.12,69.23,34,67.59,96,34,27,79.41,Medium
STU00186,Zachary Mitchell,25,Bachelor,5,1,1,3,20.0,19,13,5.9,112.06,44.05,68.42,29,70.14,100,34,23,79.31,Medium
STU00207,Kelly Hernandez,32,PhD,5,1,3,1,20.0,27,17,5.76,155.39,48.63,62.96,29,68.41,100,30,20,68.97,Medium
STU00222,Thomas Butler,41,Master,5,1,2,2,20.0,27,16,4.8,129.6,56.85,59.26,35,70.49,96,31,30,85.71,Medium
STU00247,Bob Cole,44,PhD,5,1,4,0,20.0,32,23,4.97,159.17,52.41,71.88,42,68.45,98,32,32,76.19,Medium
STU00248,Shelly Lopez,32,PhD,5,1,3,1,20.0,23,12,5.14,118.17,57.22,52.17,22,67.45,99,30,17,77.27,Medium
STU00280,Lauren Ferguson,44,Bachelor,5,1,4,0,20.0,32,23,5.11,163.61,51.94,71.88,51,65.47,100,30,38,74.51,Medium
STU00283,Lauren Johnston,38,High School,5,1,2,2,20.0,25,15,5.64,140.96,62.84,60.0,29,67.1,100,30,22,75.86,Medium
STU00290,Michael Burns,32,Bachelor,5,1,3,1,20.0,19,10,6.25,118.72,51.95,52.63,19,70.26,93,35,16,84.21,Medium
STU00294,Anthony Howard,39,Master,5,1,3,1,20.0,25,20,4.28,107.03,54.6,80.0,42,66.38,100,34,33,78.57,Medium
STU00341,Debbie Ewing,27,Master,5,1,3,1,20.0,30,20,4.55,136.41,48.63,66.67,39,68.9,99,31,30,76.92,Medium
STU00350,Robert Ruiz,22,High School,5,1,4,0,20.0,26,9,5.6,145.66,55.62,34.62,16,69.75,98,40,12,75.0,Medium
STU00380,Derrick Watson,42,PhD,5,1,0,4,20.0,21,13,4.68,98.31,45.14,61.9,30,69.13,99,36,21,70.0,Medium
STU00396,Molly Hansen,42,High School,5,1,3,1,20.0,19,10,5.28,100.38,36.84,52.63,16,64.25,98,34,9,56.25,Medium
STU00456,Mercedes Jones,41,High School,5,1,1,3,20.0,19,9,5.17,98.27,51.32,47.37,15,65.13,98,40,13,86.67,Medium
STU00010,Patrick Ryan,21,PhD,4,1,2,1,25.0,19,12,4.2,79.85,51.68,63.16,22,68.64,94,30,19,86.36,Medium
STU00019,David Brown,40,High School,4,1,2,1,25.0,20,13,6.53,130.63,62.25,65.0,26,77.85,93,42,17,65.38,Medium
STU00041,Janet Williams,19,High School,4,1,3,0,25.0,22,13,6.17,135.81,43.41,59.09,27,71.48,95,42,20,74.07,Medium
STU00074,Elizabeth Perkins,30,Bachelor,4,1,1,2,25.0,21,12,5.1,107.16,59.48,57.14,24,64.92,91,35,21,87.5,Medium
STU00081,Lisa Rowe,29,Bachelor,4,1,3,0,25.0,16,8,4.6,73.54,55.06,50.0,17,66.88,95,43,15,88.24,Medium
STU00090,Gregory Cook,28,Master,4,1,3,0,25.0,21,14,4.26,89.4,47.81,66.67,24,71.58,100,36,18,75.0,Medium
STU00093,Mr. Anthony Adams Jr.,44,Bachelor,4,1,2,1,25.0,17,7,6.32,107.52,60.29,41.18,12,72.92,98,32,10,83.33,Medium
STU00102,Deborah Hanson,45,PhD,4,1,1,2,25.0,20,13,6.46,129.12,37.05,65.0,25,67.96,96,33,20,80.0,Medium
STU00110,Melissa Garner,37,Master,4,1,0,3,25.0,17,11,4.93,83.78,50.35,64.71,23,65.96,100,32,18,78.26,Medium
STU00114,Julie Jones,29,High School,4,1,2,1,25.0,16,8,6.17,98.65,54.13,50.0,19,69.47,98,34,14,73.68,Medium
STU00116,Teresa Rodriguez,34,PhD,4,1,2,1,25.0,22,12,4.97,109.37,40.45,54.55,22,68.86,94,37,17,77.27,Medium
STU00121,Maria Brown,24,Master,4,1,2,1,25.0,18,11,5.68,102.29,44.61,61.11,18,68.44,96,35,13,72.22,Medium
STU00124,Dr. Kimberly Lindsey,27,Master,4,1,3,0,25.0,25,13,5.88,146.93,52.88,52.0,29,64.34,97,34,24,82.76,Medium
STU00139,Luke Craig,20,Master,4,1,3,0,25.0,24,17,5.22,125.24,56.75,70.83,34,67.32,96,31,28,82.35,Medium
STU00145,Michael Cox,30,High School,4,1,2,1,25.0,21,14,5.67,118.99,57.9,66.67,25,68.88,97,31,21,84.0,Medium
STU00147,Susan Bailey,42,PhD,4,1,1,2,25.0,21,17,4.95,103.92,56.24,80.95,38,65.87,99,32,34,89.47,Medium
STU00148,Mary Thompson,33,Master,4,1,3,0,25.0,21,14,6.91,145.21,64.14,66.67,32,66.97,100,31,25,78.13,Medium
STU00150,Rebecca Vargas,39,PhD,4,1,2,1,25.0,20,12,4.87,97.3,52.7,60.0,22,71.68,95,37,16,72.73,Medium
STU00167,Cynthia Vang,40,High School,4,1,3,0,25.0,22,16,5.5,120.99,37.55,72.73,30,67.77,96,32,24,80.0,Medium
STU00190,Zachary Higgins,40,Master,4,1,1,2,25.0,20,13,4.25,85.03,59.3,65.0,29,67.97,88,33,24,82.76,Medium
STU00216,Mikayla Roberts,31,Bachelor,4,1,2,1,25.0,26,15,5.43,141.26,42.12,57.69,30,65.03,99,31,25,83.33,Medium
STU00234,Justin Hansen,37,PhD,4,1,1,2,25.0,16,7,4.9,78.44,35.94,43.75,16,71.56,96,39,15,93.75,Medium
STU00243,Connie Turner,32,Bachelor,4,1,2,1,25.0,27,14,6.24,168.57,62.26,51.85,29,69.62,100,33,26,89.66,Medium
STU00255,Catherine Preston,45,High School,4,1,3,0,25.0,24,14,3.83,91.92,49.5,58.33,23,70.0,100,31,18,78.26,Medium
STU00291,Lisa Cervantes,45,PhD,4,1,2,1,25.0,20,11,4.08,81.53,56.6,55.0,19,68.58,95,36,15,78.95,Medium
STU00333,David Reed,28,PhD,4,1,2,1,25.0,21,14,4.16,87.31,54.67,66.67,24,74.17,99,33,20,83.33,Medium
STU00345,Christopher Berry,42,Bachelor,4,1,3,0,25.0,23,17,4.98,114.43,60.09,73.91,34,67.68,99,37,25,73.53,Medium
STU00374,Travis Cole,28,High School,4,1,2,1,25.0,19,9,3.95,75.1,44.84,47.37,14,64.21,96,30,12,85.71,Medium
STU00385,Kathy Reid,32,High School,4,1,2,1,25.0,23,10,5.64,129.67,44.96,43.48,19,70.58,98,38,16,84.21,Medium
STU00397,Seth Fisher,20,High School,4,1,3,0,25.0,20,13,5.17,103.39,45.5,65.0,28,61.57,96,32,21,75.0,Medium
STU00404,Emily Garcia,34,High School,4,1,2,1,25.0,16,13,5.15,82.41,56.63,81.25,28,68.86,100,35,19,67.86,Medium
STU00410,Ronald Garcia,22,Bachelor,4,1,2,1,25.0,20,10,5.37,107.46,42.7,50.0,28,68.29,100,30,24,85.71,Medium
STU00421,Anna Stanley,34,PhD,4,1,2,1,25.0,21,11,5.76,120.98,53.52,52.38,27,63.78,95,33,21,77.78,Medium
STU00426,Christine Powers,44,Master,4,1,2,1,25.0,18,11,3.82,68.71,44.56,61.11,25,68.6,98,31,23,92.0,Medium
STU00431,Judith Lawrence,21,Bachelor,4,1,3,0,25.0,26,20,4.64,120.68,62.27,76.92,34,66.65,94,32,29,85.29,Medium
STU00433,Sonya Gordon,38,PhD,4,1,2,1,25.0,21,13,5.0,104.91,46.38,61.9,30,69.27,95,40,23,76.67,Medium
STU00453,Patricia Lucas,41,PhD,4,1,2,1,25.0,20,13,4.93,98.62,44.4,65.0,22,71.14,98,36,15,68.18,Medium
STU00483,Cassandra Valenzuela,43,Bachelor,4,1,2,1,25.0,19,12,4.84,92.02,58.21,63.16,24,70.46,100,37,20,83.33,Medium
STU00484,Larry Carey,20,PhD,4,1,0,3,25.0,19,14,5.02,95.31,42.95,73.68,28,67.5,99,31,25,89.29,Medium
STU00011,Johnny Campos,29,Master,3,1,1,1,33.33,14,10,4.85,67.84,39.64,71.43,21,68.86,98,38,15,71.43,Medium
STU00024,Angela Morton,26,Bachelor,3,1,2,0,33.33,13,7,6.23,80.98,52.15,53.85,13,67.23,99,42,10,76.92,Medium
STU00036,Deborah Figueroa,18,Master,3,1,2,0,33.33,15,9,5.06,75.9,31.4,60.0,19,72.79,97,36,16,84.21,Medium
STU00055,Joanna Walton,21,PhD,3,1,2,0,33.33,15,8,6.56,98.45,51.73,53.33,15,69.2,99,31,14,93.33,Medium
STU00086,Paul Carroll,27,Bachelor,3,1,2,0,33.33,17,7,5.83,99.14,43.59,41.18,11,74.27,100,44,7,63.64,Medium
STU00117,Arthur Colon,30,Master,3,1,1,1,33.33,17,8,6.03,102.54,54.53,47.06,15,64.87,94,51,15,100.0,Medium
STU00128,Theodore Jones Jr.,32,Bachelor,3,1,1,1,33.33,14,10,5.69,79.64,55.57,71.43,22,70.82,94,33,16,72.73,Medium
STU00129,Zachary Schmidt,33,Bachelor,3,1,2,0,33.33,18,11,5.4,97.16,50.89,61.11,17,73.82,100,53,12,70.59,Medium
STU00168,Andrew Lowery,21,Master,3,1,0,2,33.33,12,7,5.53,66.36,49.58,58.33,15,70.67,99,41,13,86.67,Medium
STU00173,Jeanette Harrison,31,PhD,3,1,1,1,33.33,14,8,4.75,66.5,48.29,57.14,14,65.71,98,30,12,85.71,Medium
